text,label,sentiment,clean_text
"Forget what I said about Emeril. Rachael Ray is the most irritating personality on the Food Network AND all of television. If you've never seen 30 Minute Meals, then you cannot possibly begin to comprehend how unfathomably annoying she is. I really truly meant that you can't even begin to be boggled by her until you've viewed the show once or twice, and even then all words and intelligent thoughts will fail you. The problem is mostly with her mannerisms as you might have guessed. Ray has a goofy mouth and often imitates the parrot. If you love something or think it's ""awesome"" (a word she uses roughly 87 times per telecast) just say it. And she's constantly using horrible, unfunny catchphrases like ""EVOO"" (Extra virgin olive oil!). SHUT UP! What's worse is Ray has TWO other shows on the network! I think this is some elaborate conspiracy by the terrorists to drive us mad. Give me more Tyler Florence! Ray is lame.",0,negative,forget said emeril rachael ray irritating personality food network television youve never seen minute meal possibly begin comprehend unfathomably annoying really truly meant cant even begin boggled youve viewed show twice even word intelligent thought fail problem mostly mannerism might guessed ray goofy mouth often imitates parrot love something think awesome word us roughly time per telecast say shes constantly using horrible unfunny catchphrase like evoo extra virgin olive oil shut whats worse ray two show network think elaborate conspiracy terrorist drive mad give tyler florence ray lame
"Former private eye-turned-security guard ditches his latest droning job and is immediately offered a chance to return to his previous profession. His assignment: to tail a mysterious French woman newly arrived in California...and apparently wanted by suit-and-tie racketeers. Unsuccessful attempt to update the film noir genre, without enough sting or wit (or involving plot dynamics) in the screenplay. Director and co-scenarist Paul Magwood (who later claimed the picture was edited without his involvement) doesn't give off the impression of having high regard for the '40s films his ""Chandler"" was borne from; his nostalgia is appropriately rumpled, but also bitter-tinged and somewhat indifferent. The handling is curiously, commendably low-keyed, and Warren Oates is well-cast as this '70s variant on the 'private dick' archetype, but the movie doesn't have any snap. Nice to see Leslie Caron and Gloria Grahame in the cast--though neither has much to do, and Caron's hot-and-cold running character is exasperating throughout. Vivid cinematography by Alan Stensvold, nice location shooting, but it fails to come to any kind of a boil. *1/2 from ****",0,negative,former private eyeturnedsecurity guard ditch latest droning job immediately offered chance return previous profession assignment tail mysterious french woman newly arrived californiaand apparently wanted suitandtie racketeer unsuccessful attempt update film noir genre without enough sting wit involving plot dynamic screenplay director coscenarist paul magwood later claimed picture edited without involvement doesnt give impression high regard film chandler borne nostalgia appropriately rumpled also bittertinged somewhat indifferent handling curiously commendably lowkeyed warren oates wellcast variant private dick archetype movie doesnt snap nice see leslie caron gloria grahame castthough neither much carons hotandcold running character exasperating throughout vivid cinematography alan stensvold nice location shooting fails come kind boil
"Mann photographs the Alberta Rocky Mountains in a superb fashion, and Jimmy Stewart and Walter Brennan give enjoyable performances as they always seem to do. <br /><br />But come on Hollywood - a Mountie telling the people of Dawson City, Yukon to elect themselves a marshal (yes a marshal!) and to enforce the law themselves, then gunfighters battling it out on the streets for control of the town? <br /><br />Nothing even remotely resembling that happened on the Canadian side of the border during the Klondike gold rush. Mr. Mann and company appear to have mistaken Dawson City for Deadwood, the Canadian North for the American Wild West.<br /><br />Canadian viewers be prepared for a Reefer Madness type of enjoyable howl with this ludicrous plot, or, to shake your head in disgust.",0,negative,mann photograph alberta rocky mountain superb fashion jimmy stewart walter brennan give enjoyable performance always seem come hollywood mountie telling people dawson city yukon elect marshal yes marshal enforce law gunfighters battling street control town nothing even remotely resembling happened canadian side border klondike gold rush mann company appear mistaken dawson city deadwood canadian north american wild westcanadian viewer prepared reefer madness type enjoyable howl ludicrous plot shake head disgust
"Simply put: the movie is boring. Cliché upon cliché is confirmed and story lines never come together. It seems as if the director was unsure whether to make a movie or a documentary. The main plot is very thin (a CIA agent is ordered to kill an oil prince, gets caught and then warns the prince (why?)) and therefore some elements were added to make the movie more interesting. So, a kid dies, which results in the ""natural"" response of the father: freely advising the person indirectly responsible for his son's death. The lawyer has a drunk ""friend"" and keeps him around, why, no one knows. Some kids become suicide terrorists and blow up a ship.<br /><br />All in all, this is one of the worst movies I have seen in quite a while. I was neither entertained nor intellectually challenged. I neither laughed nor cried, I did not gain an understanding nor was I compelled to learn more or take up a cause. It meant nothing to me, which in my eyes is the worst one can say about a movie.",0,negative,simply put movie boring clich upon clich confirmed story line never come together seems director unsure whether make movie documentary main plot thin cia agent ordered kill oil prince get caught warns prince therefore element added make movie interesting kid dy result natural response father freely advising person indirectly responsible son death lawyer drunk friend keep around one know kid become suicide terrorist blow shipall one worst movie seen quite neither entertained intellectually challenged neither laughed cried gain understanding compelled learn take cause meant nothing eye worst one say movie
"Now being a fan of sci fi, the trailer for this film looked a bit too, how do i put it, hollywood. But after watching it i can gladly say it has impressed me greatly. Jude is a class actor and miss Leigh pulls it off better than she did in Delores Clairborne. It brings films like The Matrix, 12 Monkeys and The Cell into mind, which might not sound that appealing, but it truly is one of the best films i have seen.",1,positive,fan sci trailer film looked bit put hollywood watching gladly say impressed greatly jude class actor miss leigh pull better delores clairborne brings film like matrix monkey cell mind might sound appealing truly one best film seen
"In 'Hoot' Logan Lerman plays Roy Eberhardt, the new kid in school who has just moved from Montana. But Florida is a lot different from Montana. Despite is troubles in blending in, Roy discovers a bigger problem. A new franchise restaurant is coming to town and families of burrowing owls are in trouble. Can the new kid, a tomboy (Brie Larson) and a runaway (Cody Linley) stop big business from destroying these owls' home? <br /><br />This movie was pretty good. The kids (Logan Lerman, Brie Larson and Cody Linley) are the real stars of this film. Luke Wilson (Officer Delinko) is okay, but really does not have a very big part. Neither does Robert Wagner (Mayor) or Jimmy Buffett (Mr. Ryan).<br /><br />Nevertheless this was a fun film that the whole family will enjoy. For a first time producer, I thought Jimmy Buffett put together a quality piece of work. Plus the owls were really cute.",1,positive,hoot logan lerman play roy eberhardt new kid school moved montana florida lot different montana despite trouble blending roy discovers bigger problem new franchise restaurant coming town family burrowing owl trouble new kid tomboy brie larson runaway cody linley stop big business destroying owl home movie pretty good kid logan lerman brie larson cody linley real star film luke wilson officer delinko okay really big part neither robert wagner mayor jimmy buffett ryannevertheless fun film whole family enjoy first time producer thought jimmy buffett put together quality piece work plus owl really cute
This is the worst film I have ever seen.I was watching this film with some friends and after 40 minutes we had enough. The plot was bad and there wasn't a single likeable character.I could get more entertainment watching static. I gave this movie a 1 only because the scale didn't go into negative numbers. Avoid this movie at all costs.,0,negative,worst film ever seeni watching film friend minute enough plot bad wasnt single likeable characteri could get entertainment watching static gave movie scale didnt negative number avoid movie cost
"I think that Toy Soldiers is an excellent movie. It's one of the only movies that, aside from some well known actors, has an unknown cast that can actually act. In my opinion, the plot is captivating. It keeps your attention without having an outrageous story that couldn't possibly happen in real life. I think that everyone would enjoy this movie. Sean Astin always seems to pick the perfect movies to be in that showcase his talent. He's very underrated and doesn't get the recognition that he deserves. Other movies that he has been in other actors have been in the spotlight but this movie and Rudy really showcase him because he is the main character in both. I hope that he someday gets the accolades he deserves for his acting. If you want to see a great movie you need to check this one out and if you are a Sean Astin fan you will definitely like this movie.",1,positive,think toy soldier excellent movie one movie aside well known actor unknown cast actually act opinion plot captivating keep attention without outrageous story couldnt possibly happen real life think everyone would enjoy movie sean astin always seems pick perfect movie showcase talent he underrated doesnt get recognition deserves movie actor spotlight movie rudy really showcase main character hope someday get accolade deserves acting want see great movie need check one sean astin fan definitely like movie
"I think Micheal Ironsides acting career must be over, if he has to star in this sort of low budge crap. Surely he could do better than waste his time in this rubbish.<br /><br />This movie could be far better, if it had a good budget, but it shows repeatedly through-out the movie. There is one scene at a outpost, which looks like, its outside the front of a railway station, and i bet it was.<br /><br />There is one scene which made give this movie a 3, and it shows the space craft landing and taking off over a lake, surrounded by forests. This was well done, but the rest of the movie, forget it.<br /><br />There is another scene, which looks like a engineering plant, which i bet it, and does not look like a space outpost as the character say it is.<br /><br />This movie is stupid, has a serious low budget, makes no sense and God Help Micheal Ironsides.",0,negative,think micheal ironside acting career must star sort low budge crap surely could better waste time rubbishthis movie could far better good budget show repeatedly throughout movie one scene outpost look like outside front railway station bet wasthere one scene made give movie show space craft landing taking lake surrounded forest well done rest movie forget itthere another scene look like engineering plant bet look like space outpost character say isthis movie stupid serious low budget make sense god help micheal ironside
"This was a disgrace to the game FarCry i had much expectations but all ended up in a nightmare. Besides the bad acting the visual effects, stunts the plot even the humor used in the movie was an absolute flop. The movie is not worth watching at all. The funniest part was when the girl comes and kiss Jack in order to give him the key to the cuffs. Guess the she got the keys to handcuffs all the time. I hope some good director will make a remake of this fantastic game into a movie someday. And I they will invest some good cash to get the visual effects right and the scenaries right as well as the ACTING right. But till then don't waste time by trying to watch this movie because it will surely make you go mad specially if you are a FarCry lover.",0,negative,disgrace game farcry much expectation ended nightmare besides bad acting visual effect stunt plot even humor used movie absolute flop movie worth watching funniest part girl come kiss jack order give key cuff guess got key handcuff time hope good director make remake fantastic game movie someday invest good cash get visual effect right scenaries right well acting right till dont waste time trying watch movie surely make mad specially farcry lover
